date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-03-05,MX_OAX,0,0,,0,0,,,,
2020-03-05,MX_PUE,0,0,,0,0,,,,
2020-03-05,MX_QUE,0,0,,0,0,,,,
2020-03-05,MX_ROO,0,0,,0,0,,,,
2020-03-05,MX_SIN,0,0,,0,0,,,,
2020-03-05,MX_SLP,0,0,,0,0,,,,
2020-03-05,MX_SON,0,0,,0,0,,,,
2020-03-05,MX_TAB,0,0,,0,0,,,,
2020-03-05,MX_TAM,0,0,,0,0,,,,
2020-03-05,MX_TLA,0,0,,0,0,,,,
2020-03-05,MX_VER,0,0,,0,0,,,,
2020-03-05,MX_YUC,0,0,,0,0,,,,
2020-03-05,MX_ZAC,0,0,,0,0,,,,
2020-03-05,PH_00,2,6,,,,,,,
2020-03-05,PH_40,0,1,,,,,,,
2020-03-05,PH_40_RIZ,0,0,,,,,,,
2020-03-05,PT,,,9,,,,,,
2020-03-06,AR,13,79,,5,17,,,,
2020-03-06,AR_A,1,1,,1,1,,,,
2020-03-06,AR_A_056,1,1,,1,1,,,,
2020-03-06,AR_B,3,24,,1,6,,,,
2020-03-06,AR_B_056,1,1,,0,0,,,,
2020-03-06,AR_B_260,1,1,,0,0,,,,
2020-03-06,AR_B_840,1,2,,1,1,,,,
2020-03-06,AR_C,6,32,,1,5,,,,
2020-03-06,AR_C_003,1,3,,0,0,,,,
