date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-21,CU_03,3,,,,1276,,,
2020-06-21,CU_04,0,,,,207,,,
2020-06-21,CU_05,0,,,,219,,,
2020-06-21,CU_06,0,,,,24,,,
2020-06-21,CU_07,0,,,,68,,,
2020-06-21,CU_08,0,,,,96,,,
2020-06-21,CU_09,0,,,,49,,,
2020-06-21,CU_10,0,,,,18,,,
2020-06-21,CU_11,0,,,,94,,,
2020-06-21,CU_12,0,,,,15,,,
2020-06-21,CU_13,0,,,,50,,,
2020-06-21,CU_14,0,,,,19,,,
2020-06-21,CU_15,0,,,,38,,,
2020-06-21,CU_16,0,,,,48,,,
2020-06-21,CU_99,0,,,,42,,,
2020-06-21,CV,27,0,,,890,8,,
2020-06-21,CW,0,0,,,23,1,,
2020-06-21,CY,1,0,,,986,19,,
2020-06-21,CZ,50,0,,1313,10498,336,,520813
2020-06-21,CZ_10,6,1,2,,2295,100,1500,
2020-06-21,CZ_10_100,6,1,2,,2295,100,1500,
2020-06-21,CZ_20,1,0,1,,1141,23,998,
2020-06-21,CZ_20_201,0,0,0,,94,1,92,
2020-06-21,CZ_20_202,0,0,0,,87,1,77,
2020-06-21,CZ_20_203,0,0,0,,125,6,103,
2020-06-21,CZ_20_204,0,0,0,,67,1,67,
2020-06-21,CZ_20_205,0,0,0,,37,0,36,
2020-06-21,CZ_20_206,0,0,0,,109,2,101,
2020-06-21,CZ_20_207,0,0,0,,54,1,52,
2020-06-21,CZ_20_208,0,0,0,,68,1,58,
2020-06-21,CZ_20_209,0,0,1,,223,4,191,
2020-06-21,CZ_20_20A,0,0,0,,202,4,169,
2020-06-21,CZ_20_20B,0,0,0,,53,2,37,
2020-06-21,CZ_20_20C,1,0,0,,22,0,15,
2020-06-21,CZ_31,0,0,0,,191,6,180,
2020-06-21,CZ_31_311,0,0,0,,43,0,42,
2020-06-21,CZ_31_312,0,0,0,,23,0,23,
2020-06-21,CZ_31_313,0,0,0,,17,0,17,
2020-06-21,CZ_31_314,0,0,0,,14,0,12,
2020-06-21,CZ_31_315,0,0,0,,39,5,33,
2020-06-21,CZ_31_316,0,0,0,,36,1,34,
2020-06-21,CZ_31_317,0,0,0,,19,0,19,
2020-06-21,CZ_32,0,0,0,,664,17,630,
2020-06-21,CZ_32_321,0,0,0,,353,8,340,
2020-06-21,CZ_32_322,0,0,0,,90,0,84,
2020-06-21,CZ_32_323,0,0,0,,104,3,97,
2020-06-21,CZ_32_324,0,0,0,,36,5,30,
2020-06-21,CZ_32_325,0,0,0,,21,0,21,
2020-06-21,CZ_32_326,0,0,0,,7,0,6,
2020-06-21,CZ_32_327,0,0,0,,53,1,52,
2020-06-21,CZ_41,0,0,0,,481,38,384,
2020-06-21,CZ_41_411,0,0,0,,330,35,264,
2020-06-21,CZ_41_412,0,0,0,,83,3,70,
2020-06-21,CZ_41_413,0,0,0,,68,0,50,
2020-06-21,CZ_42,0,0,0,,553,22,481,
2020-06-21,CZ_42_421,0,0,0,,48,0,49,
2020-06-21,CZ_42_422,0,0,0,,25,1,25,
2020-06-21,CZ_42_423,0,0,0,,269,11,239,
2020-06-21,CZ_42_424,0,0,0,,28,3,23,
2020-06-21,CZ_42_425,0,0,0,,39,7,33,
2020-06-21,CZ_42_426,0,0,0,,61,0,31,
2020-06-21,CZ_42_427,0,0,0,,83,0,81,
2020-06-21,CZ_51,5,0,0,,222,5,195,
2020-06-21,CZ_51_511,0,0,0,,7,0,7,
2020-06-21,CZ_51_512,1,0,0,,83,2,80,
2020-06-21,CZ_51_513,2,0,0,,89,2,71,
2020-06-21,CZ_51_514,2,0,0,,43,1,37,
2020-06-21,CZ_52,0,0,0,,201,4,189,
2020-06-21,CZ_52_521,0,0,0,,69,2,62,
2020-06-21,CZ_52_522,0,0,0,,23,1,21,
2020-06-21,CZ_52_523,0,0,0,,66,0,65,
2020-06-21,CZ_52_524,0,0,0,,17,1,16,
2020-06-21,CZ_52_525,0,0,0,,26,0,25,
2020-06-21,CZ_53,7,0,0,,299,9,270,
2020-06-21,CZ_53_531,6,0,0,,89,0,80,
2020-06-21,CZ_53_532,1,0,0,,147,5,136,
2020-06-21,CZ_53_533,0,0,0,,36,2,32,
2020-06-21,CZ_53_534,0,0,0,,27,2,22,
2020-06-21,CZ_63,0,0,0,,185,4,178,
2020-06-21,CZ_63_631,0,0,0,,95,3,90,
2020-06-21,CZ_63_632,0,0,0,,15,0,14,
2020-06-21,CZ_63_633,0,0,0,,2,0,2,
2020-06-21,CZ_63_634,0,0,0,,33,1,32,
2020-06-21,CZ_63_635,0,0,0,,40,0,40,
2020-06-21,CZ_64,0,0,0,,624,21,500,
2020-06-21,CZ_64_641,0,0,0,,34,0,30,
2020-06-21,CZ_64_642,0,0,0,,252,5,180,
2020-06-21,CZ_64_643,0,0,0,,87,3,65,
2020-06-21,CZ_64_644,0,0,0,,119,13,104,
2020-06-21,CZ_64_645,0,0,0,,15,0,13,
2020-06-21,CZ_64_646,0,0,0,,40,0,34,
2020-06-21,CZ_64_647,0,0,0,,77,0,74,
