date,key,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-06-11,CO_05_05318,80112099999,12.870351,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05321,80112099999,30.184668,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05347,80110099999,15.405927,23.333333,17.722222,28,0,
2020-06-11,CO_05_05353,80110099999,58.414132,23.333333,17.722222,28,0,
2020-06-11,CO_05_05360,80110099999,5.6592812,23.333333,17.722222,28,0,
2020-06-11,CO_05_05361,80110099999,107.49667,23.333333,17.722222,28,0,
2020-06-11,CO_05_05364,80110099999,73.632825,23.333333,17.722222,28,0,
2020-06-11,CO_05_05368,80110099999,52.347776,23.333333,17.722222,28,0,
2020-06-11,CO_05_05376,80112099999,15.289542,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05380,80110099999,9.0304247,23.333333,17.722222,28,0,
2020-06-11,CO_05_05390,80112099999,51.195181,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05400,80112099999,22.449919,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05411,80110099999,56.512685,23.333333,17.722222,28,0,
2020-06-11,CO_05_05425,80112099999,82.494445,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05440,80112099999,9.3605968,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05467,80112099999,26.923051,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05475,80084099999,92.077837,28.555556,23,31.388889,1.016,
2020-06-11,CO_05_05480,80084099999,70.394299,28.555556,23,31.388889,1.016,
2020-06-11,CO_05_05483,80112099999,67.578632,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05490,80084099999,68.684603,28.555556,23,31.388889,1.016,
2020-06-11,CO_05_05495,80063099999,141.17446,27.888889,22.777778,32,0.508,
2020-06-11,CO_05_05501,80110099999,51.513669,23.333333,17.722222,28,0,
2020-06-11,CO_05_05541,80112099999,20.899348,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05543,80110099999,95.830878,23.333333,17.722222,28,0,
2020-06-11,CO_05_05576,80110099999,55.170304,23.333333,17.722222,28,0,
2020-06-11,CO_05_05579,80091099999,88.767087,28.444444,23.611111,32,2.032,
2020-06-11,CO_05_05585,80112099999,92.848625,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05591,80112099999,92.53969,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05604,80091099999,97.908551,28.444444,23.611111,32,2.032,
2020-06-11,CO_05_05607,80112099999,14.736278,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05615,80112099999,5.5540601,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05628,80028099999,28.928193,27.611111,23.611111,32,0,
2020-06-11,CO_05_05631,80110099999,8.1383042,23.333333,17.722222,28,0,
2020-06-11,CO_05_05642,80110099999,51.369941,23.333333,17.722222,28,0,
2020-06-11,CO_05_05647,80110099999,77.809656,23.333333,17.722222,28,0,
2020-06-11,CO_05_05649,80112099999,47.701342,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05652,80112099999,41.978954,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05656,80110099999,28.923359,23.333333,17.722222,28,0,
2020-06-11,CO_05_05658,80110099999,70.787602,23.333333,17.722222,28,0,
2020-06-11,CO_05_05659,80063099999,77.549008,27.888889,22.777778,32,0.508,
2020-06-11,CO_05_05660,80112099999,49.444246,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05664,80110099999,26.885395,23.333333,17.722222,28,0,
2020-06-11,CO_05_05665,80084099999,63.613015,28.555556,23,31.388889,1.016,
2020-06-11,CO_05_05667,80112099999,46.00181,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05670,80112099999,57.068234,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05674,80112099999,16.430341,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05679,80112099999,35.959533,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05686,80110099999,49.658948,23.333333,17.722222,28,0,
2020-06-11,CO_05_05690,80112099999,44.334239,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05697,80112099999,17.859882,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05736,80091099999,98.943897,28.444444,23.611111,32,2.032,
2020-06-11,CO_05_05756,80112099999,52.176065,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05761,80110099999,35.568615,23.333333,17.722222,28,0,
2020-06-11,CO_05_05789,80110099999,63.255303,23.333333,17.722222,28,0,
2020-06-11,CO_05_05790,80063099999,145.68208,27.888889,22.777778,32,0.508,
2020-06-11,CO_05_05792,80110099999,47.062606,23.333333,17.722222,28,0,
2020-06-11,CO_05_05809,80110099999,28.442584,23.333333,17.722222,28,0,
2020-06-11,CO_05_05819,80110099999,88.748823,23.333333,17.722222,28,0,
2020-06-11,CO_05_05837,80084099999,31.291275,28.555556,23,31.388889,1.016,
2020-06-11,CO_05_05842,80110099999,99.207736,23.333333,17.722222,28,0,
2020-06-11,CO_05_05847,80110099999,60.988508,23.333333,17.722222,28,0,
2020-06-11,CO_05_05854,80110099999,106.2895,23.333333,17.722222,28,0,
2020-06-11,CO_05_05856,80112099999,65.210292,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05858,80112099999,96.55969,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05861,80110099999,32.860143,23.333333,17.722222,28,0,
2020-06-11,CO_05_05873,80144099999,103.94916,28.277778,24,32.222222,0,
2020-06-11,CO_05_05885,80112099999,85.882168,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05887,80110099999,84.881177,23.333333,17.722222,28,0,
2020-06-11,CO_05_05890,80112099999,66.174726,16.166667,12.5,21,6.096,
2020-06-11,CO_05_05893,80091099999,11.422895,28.444444,23.611111,32,2.032,
2020-06-11,CO_05_05895,80091099999,127.96775,28.444444,23.611111,32,2.032,
2020-06-11,CO_08,80028099999,10.38454,27.611111,23.611111,32,0,
