key,date,current_hospitalized,current_intensive_care,total_recovered,total_deceased,current_hospitalized_female,current_hospitalized_male,current_intensive_care_female,current_intensive_care_male,total_recovered_female,total_recovered_male,total_deceased_female,total_deceased_male,new_recovered,new_deceased,new_recovered_female,new_recovered_male,new_deceased_female,new_deceased_male
FR_IDF_77,2020-06-11,357,49,2457,670,179,178,14,35,1075,1382,267,403,7,1,3,4,0,1
FR_IDF_77,2020-06-12,343,50,2475,672,171,172,15,35,1084,1391,268,404,18,2,9,9,1,1
FR_IDF_77,2020-06-13,338,49,2479,672,169,169,15,34,1086,1393,268,404,4,0,2,2,0,0
FR_IDF_77,2020-06-14,335,49,2482,672,169,166,15,34,1086,1396,268,404,3,0,0,3,0,0
FR_IDF_77,2020-06-15,332,45,2484,672,168,164,12,33,1087,1397,268,404,2,0,1,1,0,0
FR_IDF_77,2020-06-16,326,43,2499,674,164,162,12,31,1095,1404,268,406,15,2,8,7,0,2
FR_IDF_77,2020-06-17,320,42,2505,675,162,158,12,30,1098,1407,268,407,6,1,3,3,0,1
FR_IDF_77,2020-06-18,313,42,2510,675,161,152,13,29,1099,1411,268,407,5,0,1,4,0,0
FR_IDF_77,2020-06-19,298,37,2529,677,155,143,13,24,1106,1423,270,407,19,2,7,12,2,0
FR_IDF_77,2020-06-20,291,36,2536,677,151,140,13,23,1111,1425,269,408,7,0,5,2,-1,1
FR_IDF_77,2020-06-21,291,36,2536,677,151,140,13,23,1111,1425,269,408,0,0,0,0,0,0
FR_IDF_78,2020-03-18,69,18,5,5,35,34,7,11,3,2,1,4,,,,,,
FR_IDF_78,2020-03-19,92,20,7,6,42,50,7,13,5,2,1,5,2,1,2,0,0,1
FR_IDF_78,2020-03-20,136,33,16,11,63,73,12,21,9,7,5,6,9,5,4,5,4,1
FR_IDF_78,2020-03-21,172,39,30,13,79,93,14,25,16,14,6,7,14,2,7,7,1,1
FR_IDF_78,2020-03-22,203,43,34,13,88,115,14,29,17,17,6,7,4,0,1,3,0,0
FR_IDF_78,2020-03-23,223,49,41,17,94,129,14,35,17,24,8,9,7,4,0,7,2,2
FR_IDF_78,2020-03-24,290,71,59,25,119,171,21,50,23,36,10,15,18,8,6,12,2,6
FR_IDF_78,2020-03-25,325,87,86,37,126,199,23,64,38,48,15,22,27,12,15,12,5,7
FR_IDF_78,2020-03-26,409,99,112,43,149,260,25,74,48,64,18,25,26,6,10,16,3,3
FR_IDF_78,2020-03-27,446,100,135,53,170,276,23,77,55,80,20,33,23,10,7,16,2,8
FR_IDF_78,2020-03-28,507,119,169,61,189,318,27,92,69,100,25,36,34,8,14,20,5,3
FR_IDF_78,2020-03-29,554,125,186,69,215,339,30,95,81,105,26,43,17,8,12,5,1,7
FR_IDF_78,2020-03-30,590,137,230,80,235,355,34,103,99,131,27,53,44,11,18,26,1,10
FR_IDF_78,2020-03-31,702,158,285,97,287,415,38,120,121,164,35,62,55,17,22,33,8,9
FR_IDF_78,2020-04-01,810,178,344,118,336,474,42,136,143,201,45,73,59,21,22,37,10,11
FR_IDF_78,2020-04-02,831,180,391,136,328,503,43,137,165,226,53,83,47,18,22,25,8,10
FR_IDF_78,2020-04-03,851,184,433,153,340,511,43,141,184,249,63,90,42,17,19,23,10,7
FR_IDF_78,2020-04-04,905,188,451,167,369,536,48,140,189,262,66,101,18,14,5,13,3,11
FR_IDF_78,2020-04-05,900,184,467,174,368,532,46,138,197,270,70,104,16,7,8,8,4,3
FR_IDF_78,2020-04-06,953,183,511,194,402,551,48,135,215,296,77,117,44,20,18,26,7,13
FR_IDF_78,2020-04-07,982,187,548,208,418,564,50,137,232,316,81,127,37,14,17,20,4,10
FR_IDF_78,2020-04-08,1026,191,594,218,432,594,49,142,250,344,84,134,46,10,18,28,3,7
FR_IDF_78,2020-04-09,1022,184,644,234,426,596,47,137,270,374,90,144,50,16,20,30,6,10
FR_IDF_78,2020-04-10,1029,189,682,248,420,609,45,144,287,395,98,150,38,14,17,21,8,6
FR_IDF_78,2020-04-11,1045,188,719,256,435,610,44,144,302,417,101,155,37,8,15,22,3,5
FR_IDF_78,2020-04-12,1052,186,735,266,445,607,45,141,307,428,104,162,16,10,5,11,3,7
FR_IDF_78,2020-04-13,1059,181,770,274,457,602,44,137,319,451,108,166,35,8,12,23,4,4
FR_IDF_78,2020-04-14,1043,181,810,289,458,585,44,137,338,472,111,178,40,15,19,21,3,12
FR_IDF_78,2020-04-15,1012,173,880,303,450,562,41,132,374,506,119,184,70,14,36,34,8,6
FR_IDF_78,2020-04-16,977,161,945,314,440,537,40,121,407,538,123,191,65,11,33,32,4,7
FR_IDF_78,2020-04-17,962,152,992,325,436,526,37,115,425,567,128,197,47,11,18,29,5,6
FR_IDF_78,2020-04-18,873,138,1099,331,407,466,32,106,469,630,131,200,107,6,44,63,3,3
FR_IDF_78,2020-04-19,885,137,1108,331,412,473,33,104,476,632,131,200,9,0,7,2,0,0
FR_IDF_78,2020-04-20,891,134,1130,354,425,466,31,103,481,649,142,212,22,23,5,17,11,12
FR_IDF_78,2020-04-21,880,134,1170,369,432,448,30,104,497,673,145,224,40,15,16,24,3,12
FR_IDF_78,2020-04-22,882,129,1203,376,432,450,29,100,515,688,147,229,33,7,18,15,2,5
FR_IDF_78,2020-04-23,848,123,1242,384,424,424,24,99,533,709,149,235,39,8,18,21,2,6
FR_IDF_78,2020-04-24,839,123,1284,396,422,417,25,98,554,730,153,243,42,12,21,21,4,8
FR_IDF_78,2020-04-25,822,120,1313,398,413,409,26,94,569,744,153,245,29,2,15,14,0,2
FR_IDF_78,2020-04-26,827,121,1318,399,416,411,26,95,569,749,154,245,5,1,0,5,1,0
FR_IDF_78,2020-04-27,818,114,1332,406,410,408,23,91,574,758,158,248,14,7,5,9,4,3
FR_IDF_78,2020-04-28,850,110,1338,413,436,414,22,88,576,762,160,253,6,7,2,4,2,5
FR_IDF_78,2020-04-29,822,104,1386,425,424,398,19,85,603,783,164,261,48,12,27,21,4,8
FR_IDF_78,2020-04-30,796,95,1434,428,412,384,17,78,629,805,165,263,48,3,26,22,1,2
FR_IDF_78,2020-05-01,786,94,1456,431,410,376,17,77,640,816,166,265,22,3,11,11,1,2
FR_IDF_78,2020-05-02,796,91,1465,431,416,380,16,75,646,819,166,265,9,0,6,3,0,0
FR_IDF_78,2020-05-03,792,91,1466,432,416,376,15,76,646,820,166,266,1,1,0,1,0,1
FR_IDF_78,2020-05-04,788,89,1477,437,417,371,15,74,652,825,168,269,11,5,6,5,2,3
FR_IDF_78,2020-05-05,760,82,1513,442,411,349,13,69,666,847,168,274,36,5,14,22,0,5
FR_IDF_78,2020-05-06,755,75,1526,444,408,347,11,64,674,852,169,275,13,2,8,5,1,1
FR_IDF_78,2020-05-07,743,73,1548,447,403,340,10,63,684,864,171,276,22,3,10,12,2,1
FR_IDF_78,2020-05-08,740,73,1559,447,401,339,9,64,690,869,171,276,11,0,6,5,0,0
FR_IDF_78,2020-05-09,734,70,1569,447,398,336,8,62,694,875,171,276,10,0,4,6,0,0
FR_IDF_78,2020-05-10,733,68,1577,447,399,334,8,60,698,879,171,276,8,0,4,4,0,0
FR_IDF_78,2020-05-11,715,67,1596,454,386,329,8,59,710,886,175,279,19,7,12,7,4,3
FR_IDF_78,2020-05-12,692,60,1646,455,367,325,8,52,739,907,175,280,50,1,29,21,0,1
FR_IDF_78,2020-05-13,680,61,1670,456,357,323,8,53,755,915,176,280,24,1,16,8,1,0
FR_IDF_78,2020-05-14,668,51,1694,458,349,319,4,47,773,921,176,282,24,2,18,6,0,2
FR_IDF_78,2020-05-15,648,49,1728,460,329,319,4,45,800,928,177,283,34,2,27,7,1,1
FR_IDF_78,2020-05-16,624,47,1754,462,315,309,3,44,815,939,178,284,26,2,15,11,1,1
FR_IDF_78,2020-05-17,626,48,1754,463,314,312,3,45,815,939,179,284,0,1,0,0,1,0
FR_IDF_78,2020-05-18,625,48,1760,465,314,311,3,45,819,941,181,284,6,2,4,2,2,0
FR_IDF_78,2020-05-19,630,47,1783,468,313,317,3,44,834,949,183,285,23,3,15,8,2,1
FR_IDF_78,2020-05-20,623,46,1800,471,308,315,4,42,842,958,185,286,17,3,8,9,2,1
FR_IDF_78,2020-05-21,632,45,1801,472,314,318,3,42,843,958,186,286,1,1,1,0,1,0
FR_IDF_78,2020-05-22,610,41,1825,475,308,302,2,39,853,972,186,289,24,3,10,14,0,3
FR_IDF_78,2020-05-23,610,40,1828,476,306,304,2,38,855,973,186,290,3,1,2,1,0,1
FR_IDF_78,2020-05-24,610,40,1828,476,306,304,2,38,855,973,186,290,0,0,0,0,0,0
FR_IDF_78,2020-05-25,591,40,1847,478,302,289,2,38,860,987,186,292,19,2,5,14,0,2
FR_IDF_78,2020-05-26,594,38,1855,486,301,293,1,37,864,991,190,296,8,8,4,4,4,4
FR_IDF_78,2020-05-27,591,37,1864,488,301,290,1,36,870,994,190,298,9,2,6,3,0,2
FR_IDF_78,2020-05-28,583,38,1881,489,294,289,1,37,882,999,190,299,17,1,12,5,0,1
FR_IDF_78,2020-05-29,576,37,1887,491,290,286,1,36,886,1001,192,299,6,2,4,2,2,0
FR_IDF_78,2020-05-30,574,37,1890,492,288,286,1,36,888,1002,192,300,3,1,2,1,0,1
FR_IDF_78,2020-05-31,571,36,1892,493,288,283,1,35,888,1004,192,301,2,1,0,2,0,1
FR_IDF_78,2020-06-01,570,36,1893,493,287,283,1,35,889,1004,192,301,1,0,1,0,0,0
FR_IDF_78,2020-06-02,569,37,1900,495,287,282,2,35,891,1009,194,301,7,2,2,5,2,0
FR_IDF_78,2020-06-03,538,35,1935,496,268,270,2,33,911,1024,195,301,35,1,20,15,1,0
FR_IDF_78,2020-06-04,522,34,1951,497,256,266,2,32,924,1027,195,302,16,1,13,3,0,1
FR_IDF_78,2020-06-05,508,32,1965,497,249,259,2,30,931,1034,195,302,14,0,7,7,0,0
FR_IDF_78,2020-06-06,499,32,1980,501,243,256,2,30,941,1039,197,304,15,4,10,5,2,2
FR_IDF_78,2020-06-07,499,32,1980,501,243,256,2,30,941,1039,197,304,0,0,0,0,0,0
FR_IDF_78,2020-06-08,500,31,1985,503,241,259,2,29,945,1040,197,306,5,2,4,1,0,2
FR_IDF_78,2020-06-09,483,30,2000,506,235,248,3,27,952,1048,197,309,15,3,7,8,0,3
FR_IDF_78,2020-06-10,482,28,2002,506,234,248,3,25,954,1048,197,309,2,0,2,0,0,0
FR_IDF_78,2020-06-11,476,27,2013,507,230,246,3,24,961,1052,198,309,11,1,7,4,1,0
FR_IDF_78,2020-06-12,469,26,2020,507,228,241,3,23,963,1057,198,309,7,0,2,5,0,0
FR_IDF_78,2020-06-13,469,26,2022,508,230,239,3,23,964,1058,198,310,2,1,1,1,0,1
FR_IDF_78,2020-06-14,469,26,2022,508,230,239,3,23,964,1058,198,310,0,0,0,0,0,0
FR_IDF_78,2020-06-15,465,26,2026,508,228,237,3,23,966,1060,198,310,4,0,2,2,0,0
FR_IDF_78,2020-06-16,458,26,2030,509,222,236,3,23,970,1060,198,311,4,1,4,0,0,1
FR_IDF_78,2020-06-17,460,25,2031,510,223,237,3,22,970,1061,198,312,1,1,0,1,0,1
FR_IDF_78,2020-06-18,457,25,2034,510,220,237,3,22,972,1062,198,312,3,0,2,1,0,0
FR_IDF_78,2020-06-19,453,25,2038,510,219,234,3,22,973,1065,198,312,4,0,1,3,0,0
FR_IDF_78,2020-06-20,453,25,2039,510,220,233,3,22,973,1066,198,312,1,0,0,1,0,0
FR_IDF_78,2020-06-21,444,24,2052,512,215,229,2,22,980,1072,200,312,13,2,7,6,2,0
FR_IDF_91,2020-03-18,51,16,0,1,16,35,5,11,0,0,1,0,,,,,,
FR_IDF_91,2020-03-19,82,22,4,1,29,53,7,15,2,2,1,0,4,0,2,2,0,0
FR_IDF_91,2020-03-20,121,28,7,3,46,75,8,20,3,4,1,2,3,2,1,2,0,2
FR_IDF_91,2020-03-21,150,35,8,5,60,90,12,23,3,5,1,4,1,2,0,1,0,2
FR_IDF_91,2020-03-22,195,47,12,4,76,119,16,31,5,7,1,3,4,-1,2,2,0,-1
FR_IDF_91,2020-03-23,252,66,18,4,97,155,20,46,9,9,1,3,6,0,4,2,0,0
FR_IDF_91,2020-03-24,293,70,37,8,118,175,20,50,19,18,1,7,19,4,10,9,0,4
FR_IDF_91,2020-03-25,359,79,58,12,142,217,24,55,23,35,3,9,21,4,4,17,2,2
FR_IDF_91,2020-03-26,415,93,68,15,162,253,30,63,29,39,5,10,10,3,6,4,2,1
FR_IDF_91,2020-03-27,452,100,80,18,175,277,31,69,35,45,6,12,12,3,6,6,1,2
FR_IDF_91,2020-03-28,508,122,112,21,200,308,33,89,47,65,8,13,32,3,12,20,2,1
FR_IDF_91,2020-03-29,519,124,126,33,202,317,32,92,49,77,15,18,14,12,2,12,7,5
FR_IDF_91,2020-03-30,577,138,133,43,228,349,36,102,51,82,19,24,7,10,2,5,4,6
FR_IDF_91,2020-03-31,636,161,152,52,246,390,38,123,58,94,23,29,19,9,7,12,4,5
FR_IDF_91,2020-04-01,684,172,166,63,275,409,43,129,60,106,24,39,14,11,2,12,1,10
FR_IDF_91,2020-04-02,750,180,196,79,303,447,46,134,72,124,28,51,30,16,12,18,4,12
FR_IDF_91,2020-04-03,823,182,227,91,351,472,45,137,84,143,31,60,31,12,12,19,3,9
FR_IDF_91,2020-04-04,900,189,251,105,393,507,51,138,96,155,39,66,24,14,12,12,8,6
FR_IDF_91,2020-04-05,918,193,274,114,407,511,54,139,104,170,42,72,23,9,8,15,3,6
FR_IDF_91,2020-04-06,930,201,306,138,414,516,58,143,119,187,52,86,32,24,15,17,10,14
FR_IDF_91,2020-04-07,944,209,363,146,409,535,61,148,143,220,55,91,57,8,24,33,3,5
FR_IDF_91,2020-04-08,1106,215,394,162,491,615,66,149,158,236,59,103,31,16,15,16,4,12
FR_IDF_91,2020-04-09,1114,217,466,175,497,617,68,149,189,277,63,112,72,13,31,41,4,9
FR_IDF_91,2020-04-10,1166,227,515,190,525,641,71,156,209,306,70,120,49,15,20,29,7,8
FR_IDF_91,2020-04-11,1188,230,556,201,543,645,70,160,221,335,74,127,41,11,12,29,4,7
FR_IDF_91,2020-04-12,1206,228,579,211,553,653,71,157,232,347,81,130,23,10,11,12,7,3
FR_IDF_91,2020-04-13,1207,231,585,218,557,650,72,159,233,352,85,133,6,7,1,5,4,3
FR_IDF_91,2020-04-14,1195,225,624,245,562,633,72,153,243,381,97,148,39,27,10,29,12,15
FR_IDF_91,2020-04-15,1148,195,695,258,543,605,55,140,274,421,103,155,71,13,31,40,6,7
FR_IDF_91,2020-04-16,1150,195,744,271,552,598,57,138,292,452,109,162,49,13,18,31,6,7
FR_IDF_91,2020-04-17,1175,182,784,295,572,603,54,128,304,480,116,179,40,24,12,28,7,17
FR_IDF_91,2020-04-18,1156,177,819,303,569,587,55,122,321,498,119,184,35,8,17,18,3,5
FR_IDF_91,2020-04-19,1172,176,823,310,579,593,54,122,322,501,123,187,4,7,1,3,4,3
FR_IDF_91,2020-04-20,1179,181,837,320,580,599,55,126,328,509,130,190,14,10,6,8,7,3
FR_IDF_91,2020-04-21,1164,176,888,338,579,585,54,122,351,537,137,201,51,18,23,28,7,11
FR_IDF_91,2020-04-22,1164,178,912,347,585,579,56,122,358,554,141,206,24,9,7,17,4,5
FR_IDF_91,2020-04-23,1131,172,974,359,573,558,61,111,386,588,145,214,62,12,28,34,4,8
FR_IDF_91,2020-04-24,1157,165,1014,371,603,554,61,104,399,615,150,221,40,12,13,27,5,7
FR_IDF_91,2020-04-25,1184,167,1038,374,623,561,60,107,406,632,152,222,24,3,7,17,2,1
FR_IDF_91,2020-04-26,1181,165,1042,376,621,560,61,104,408,634,153,223,4,2,2,2,1,1
FR_IDF_91,2020-04-27,1171,161,1070,385,620,551,59,102,421,649,157,228,28,9,13,15,4,5
FR_IDF_91,2020-04-28,1156,155,1110,389,610,546,55,100,442,668,159,230,40,4,21,19,2,2
FR_IDF_91,2020-04-29,1164,152,1179,403,611,553,54,98,479,700,163,240,69,14,37,32,4,10
FR_IDF_91,2020-04-30,1173,145,1218,414,619,554,50,95,500,718,168,246,39,11,21,18,5,6
FR_IDF_91,2020-05-01,1160,143,1237,417,608,552,48,95,514,723,169,248,19,3,14,5,1,2
FR_IDF_91,2020-05-02,1165,144,1240,417,613,552,48,96,514,726,169,248,3,0,0,3,0,0
FR_IDF_91,2020-05-03,1170,147,1242,420,618,552,52,95,515,727,171,249,2,3,1,1,2,1
FR_IDF_91,2020-05-04,1154,139,1265,425,611,543,46,93,525,740,174,251,23,5,10,13,3,2
FR_IDF_91,2020-05-05,1044,130,1378,430,552,492,44,86,586,792,178,252,113,5,61,52,4,1
FR_IDF_91,2020-05-06,972,122,1465,439,498,474,39,83,645,820,182,257,87,9,59,28,4,5
FR_IDF_91,2020-05-07,960,117,1500,441,486,474,38,79,664,836,183,258,35,2,19,16,1,1
FR_IDF_91,2020-05-08,956,111,1519,443,488,468,38,73,672,847,184,259,19,2,8,11,1,1
FR_IDF_91,2020-05-09,962,111,1520,444,490,472,38,73,672,848,185,259,1,1,0,1,1,0
FR_IDF_91,2020-05-10,957,110,1525,448,487,470,38,72,674,851,188,260,5,4,2,3,3,1
FR_IDF_91,2020-05-11,949,113,1543,450,479,470,41,72,689,854,189,261,18,2,15,3,1,1
FR_IDF_91,2020-05-12,943,107,1560,455,476,467,40,67,701,859,192,263,17,5,12,5,3,2
FR_IDF_91,2020-05-13,939,104,1570,461,469,470,35,69,707,863,194,267,10,6,6,4,2,4
FR_IDF_91,2020-05-14,907,97,1613,464,456,451,32,65,726,887,196,268,43,3,19,24,2,1
FR_IDF_91,2020-05-15,881,91,1653,471,443,438,27,64,742,911,201,270,40,7,16,24,5,2
FR_IDF_91,2020-05-16,876,86,1662,471,442,434,25,61,746,916,201,270,9,0,4,5,0,0
FR_IDF_91,2020-05-17,877,83,1666,473,444,433,24,59,747,919,202,271,4,2,1,3,1,1
FR_IDF_91,2020-05-18,844,81,1700,475,434,410,24,57,755,945,204,271,34,2,8,26,2,0
FR_IDF_91,2020-05-19,843,75,1715,479,436,407,21,54,762,953,205,274,15,4,7,8,1,3
FR_IDF_91,2020-05-20,813,67,1751,479,419,394,17,50,781,970,205,274,36,0,19,17,0,0
FR_IDF_91,2020-05-21,795,67,1781,479,410,385,18,49,797,984,205,274,30,0,16,14,0,0
FR_IDF_91,2020-05-22,778,66,1823,483,404,374,18,48,817,1006,207,276,42,4,20,22,2,2
FR_IDF_91,2020-05-23,752,65,1866,484,392,360,19,46,842,1024,209,275,43,1,25,18,2,-1
FR_IDF_91,2020-05-24,752,65,1866,484,392,360,19,46,842,1024,209,275,0,0,0,0,0,0
FR_IDF_91,2020-05-25,710,64,1908,486,359,351,18,46,873,1035,210,276,42,2,31,11,1,1
FR_IDF_91,2020-05-26,701,63,1920,486,359,342,19,44,876,1044,210,276,12,0,3,9,0,0
FR_IDF_91,2020-05-27,683,62,1940,488,352,331,20,42,884,1056,210,278,20,2,8,12,0,2
FR_IDF_91,2020-05-28,647,60,1979,489,328,319,18,42,912,1067,210,279,39,1,28,11,0,1
FR_IDF_91,2020-05-29,636,59,1993,490,321,315,19,40,922,1071,210,280,14,1,10,4,0,1
FR_IDF_91,2020-05-30,637,57,1998,492,325,312,19,38,923,1075,210,282,5,2,1,4,0,2
FR_IDF_91,2020-05-31,638,58,1998,492,325,313,19,39,923,1075,210,282,0,0,0,0,0,0
FR_IDF_91,2020-06-01,635,57,1999,494,324,311,19,38,923,1076,211,283,1,2,0,1,1,1
FR_IDF_91,2020-06-02,642,53,1999,496,327,315,17,36,923,1076,213,283,0,2,0,0,2,0
FR_IDF_91,2020-06-03,617,56,2028,499,319,298,17,39,931,1097,215,284,29,3,8,21,2,1
FR_IDF_91,2020-06-04,615,57,2032,499,318,297,17,40,933,1099,215,284,4,0,2,2,0,0
FR_IDF_91,2020-06-05,608,53,2040,502,312,296,15,38,941,1099,216,286,8,3,8,0,1,2
FR_IDF_91,2020-06-06,607,52,2043,503,309,298,14,38,944,1099,217,286,3,1,3,0,1,0
FR_IDF_91,2020-06-07,607,52,2043,503,309,298,14,38,944,1099,217,286,0,0,0,0,0,0
FR_IDF_91,2020-06-08,604,49,2047,503,309,295,14,35,946,1101,217,286,4,0,2,2,0,0
FR_IDF_91,2020-06-09,577,46,2071,507,293,284,13,33,961,1110,219,288,24,4,15,9,2,2
FR_IDF_91,2020-06-10,580,47,2072,507,294,286,14,33,962,1110,219,288,1,0,1,0,0,0
FR_IDF_91,2020-06-11,576,48,2078,509,291,285,14,34,963,1115,221,288,6,2,1,5,2,0
FR_IDF_91,2020-06-12,567,46,2087,511,287,280,13,33,968,1119,223,288,9,2,5,4,2,0
FR_IDF_91,2020-06-13,498,46,2148,513,257,241,14,32,997,1151,223,290,61,2,29,32,0,2
FR_IDF_91,2020-06-14,493,44,2153,514,255,238,13,31,999,1154,224,290,5,1,2,3,1,0
FR_IDF_91,2020-06-15,495,42,2155,514,257,238,13,29,1000,1155,224,290,2,0,1,1,0,0
FR_IDF_91,2020-06-16,482,42,2168,517,248,234,14,28,1008,1160,227,290,13,3,8,5,3,0
FR_IDF_91,2020-06-17,472,38,2179,517,241,231,12,26,1016,1163,227,290,11,0,8,3,0,0
FR_IDF_91,2020-06-18,468,39,2181,518,241,227,12,27,1017,1164,227,291,2,1,1,1,0,1
FR_IDF_91,2020-06-19,467,39,2184,518,239,228,12,27,1020,1164,227,291,3,0,3,0,0,0
FR_IDF_91,2020-06-20,466,40,2185,518,238,228,12,28,1021,1164,227,291,1,0,1,0,0,0
FR_IDF_91,2020-06-21,466,40,2185,518,238,228,12,28,1021,1164,227,291,0,0,0,0,0,0
FR_IDF_92,2020-03-18,147,48,22,4,55,92,13,35,10,12,0,4,,,,,,
FR_IDF_92,2020-03-19,205,54,31,7,89,116,12,42,15,16,1,6,9,3,5,4,1,2
FR_IDF_92,2020-03-20,253,74,49,11,100,153,15,59,29,20,2,9,18,4,14,4,1,3
FR_IDF_92,2020-03-21,294,81,70,17,122,172,18,63,37,33,5,12,21,6,8,13,3,3
FR_IDF_92,2020-03-22,374,95,86,21,151,223,22,73,46,40,5,16,16,4,9,7,0,4
FR_IDF_92,2020-03-23,490,126,111,28,187,303,33,93,57,54,8,20,25,7,11,14,3,4
FR_IDF_92,2020-03-24,607,158,149,33,227,380,42,116,76,73,10,23,38,5,19,19,2,3
FR_IDF_92,2020-03-25,729,186,191,47,272,457,43,143,93,98,17,30,42,14,17,25,7,7
FR_IDF_92,2020-03-26,835,220,226,56,303,532,49,171,114,112,20,36,35,9,21,14,3,6
FR_IDF_92,2020-03-27,950,232,259,74,348,602,52,180,135,124,25,49,33,18,21,12,5,13
FR_IDF_92,2020-03-28,1087,256,310,88,404,683,58,198,156,154,28,60,51,14,21,30,3,11
FR_IDF_92,2020-03-29,1150,274,339,110,427,723,61,213,170,169,41,69,29,22,14,15,13,9
FR_IDF_92,2020-03-30,1270,291,374,126,461,809,62,229,188,186,47,79,35,16,18,17,6,10
FR_IDF_92,2020-03-31,1424,322,454,148,512,912,70,252,230,224,58,90,80,22,42,38,11,11
FR_IDF_92,2020-04-01,1618,352,513,172,582,1036,77,275,254,259,64,108,59,24,24,35,6,18
FR_IDF_92,2020-04-02,1730,357,606,209,631,1099,77,280,290,316,78,131,93,37,36,57,14,23
FR_IDF_92,2020-04-03,1830,378,699,235,672,1158,82,296,330,369,91,144,93,26,40,53,13,13
FR_IDF_92,2020-04-04,1912,386,761,266,712,1200,87,299,351,410,106,160,62,31,21,41,15,16
FR_IDF_92,2020-04-05,1931,409,832,291,721,1210,97,312,383,449,114,177,71,25,32,39,8,17
FR_IDF_92,2020-04-06,1959,425,914,318,735,1224,106,319,418,496,126,192,82,27,35,47,12,15
FR_IDF_92,2020-04-07,1920,437,1077,374,730,1190,110,327,474,603,150,224,163,56,56,107,24,32
FR_IDF_92,2020-04-08,1975,453,1164,393,759,1216,114,339,505,659,160,233,87,19,31,56,10,9
FR_IDF_92,2020-04-09,1953,436,1301,416,757,1196,109,327,563,738,168,248,137,23,58,79,8,15
FR_IDF_92,2020-04-10,1957,430,1407,460,779,1178,106,324,603,804,188,272,106,44,40,66,20,24
FR_IDF_92,2020-04-11,1959,437,1483,480,803,1156,108,329,628,855,194,286,76,20,25,51,6,14
FR_IDF_92,2020-04-12,2004,445,1518,502,828,1176,112,333,640,878,199,303,35,22,12,23,5,17
FR_IDF_92,2020-04-13,1987,432,1566,523,825,1162,110,322,661,905,212,311,48,21,21,27,13,8
FR_IDF_92,2020-04-14,1989,419,1638,559,839,1150,110,309,688,950,228,331,72,36,27,45,16,20
FR_IDF_92,2020-04-15,1968,413,1745,594,836,1132,112,301,735,1010,244,350,107,35,47,60,16,19
FR_IDF_92,2020-04-16,1961,402,1848,615,847,1114,105,297,768,1080,252,363,103,21,33,70,8,13
FR_IDF_92,2020-04-17,1927,389,1930,636,844,1083,96,293,803,1127,265,371,82,21,35,47,13,8
FR_IDF_92,2020-04-18,1942,387,1994,658,857,1085,93,294,833,1161,274,384,64,22,30,34,9,13
FR_IDF_92,2020-04-19,1970,388,2012,664,869,1101,91,297,844,1168,277,387,18,6,11,7,3,3
FR_IDF_92,2020-04-20,1964,381,2079,695,876,1088,88,293,872,1207,289,406,67,31,28,39,12,19
FR_IDF_92,2020-04-21,1903,362,2212,712,849,1054,86,276,936,1276,293,419,133,17,64,69,4,13
FR_IDF_92,2020-04-22,1897,347,2270,734,847,1050,83,264,967,1303,301,433,58,22,31,27,8,14
FR_IDF_92,2020-04-23,1919,350,2331,752,866,1053,83,267,989,1342,305,447,61,18,22,39,4,14
FR_IDF_92,2020-04-24,1916,343,2405,771,862,1054,84,259,1023,1382,309,462,74,19,34,40,4,15
FR_IDF_92,2020-04-25,1884,320,2482,784,849,1035,79,241,1066,1416,314,470,77,13,43,34,5,8
FR_IDF_92,2020-04-26,1869,324,2513,794,844,1025,79,245,1080,1433,316,478,31,10,14,17,2,8
FR_IDF_92,2020-04-27,1852,323,2573,811,850,1002,83,240,1106,1467,321,490,60,17,26,34,5,12
FR_IDF_92,2020-04-28,1835,312,2619,828,851,984,81,231,1124,1495,326,502,46,17,18,28,5,12
FR_IDF_92,2020-04-29,1786,278,2726,858,842,944,66,212,1172,1554,343,515,107,30,48,59,17,13
FR_IDF_92,2020-04-30,1753,259,2794,868,837,916,65,194,1202,1592,345,523,68,10,30,38,2,8
FR_IDF_92,2020-05-01,1732,258,2842,870,830,902,66,192,1228,1614,346,524,48,2,26,22,1,1
FR_IDF_92,2020-05-02,1726,251,2855,876,825,901,64,187,1233,1622,348,528,13,6,5,8,2,4
FR_IDF_92,2020-05-03,1732,246,2866,886,826,906,61,185,1240,1626,356,530,11,10,7,4,8,2
FR_IDF_92,2020-05-04,1710,240,2901,895,807,903,57,183,1262,1639,363,532,35,9,22,13,7,2
FR_IDF_92,2020-05-05,1657,221,2991,908,781,876,52,169,1304,1687,373,535,90,13,42,48,10,3
FR_IDF_92,2020-05-06,1634,211,3039,919,774,860,51,160,1326,1713,376,543,48,11,22,26,3,8
FR_IDF_92,2020-05-07,1595,197,3094,924,762,833,52,145,1351,1743,377,547,55,5,25,30,1,4
FR_IDF_92,2020-05-08,1549,195,3144,931,742,807,54,141,1374,1770,378,553,50,7,23,27,1,6
FR_IDF_92,2020-05-09,1541,190,3156,933,740,801,54,136,1381,1775,378,555,12,2,7,5,0,2
FR_IDF_92,2020-05-10,1545,189,3173,938,744,801,54,135,1392,1781,381,557,17,5,11,6,3,2
FR_IDF_92,2020-05-11,1536,177,3195,944,744,792,48,129,1401,1794,384,560,22,6,9,13,3,3
