Date,Country,Indicator,Value
2020-03-17,Scotland,Deaths,2
2020-03-17,Scotland,Tests,5246
2020-03-17,UK,ConfirmedCases,1950
2020-03-17,UK,Deaths,81
2020-03-17,UK,Tests,50442
2020-03-17,Wales,ConfirmedCases,205
2020-03-17,Wales,Deaths,3
2020-03-17,Wales,Tests,1789
2020-03-18,England,ConfirmedCases,4812
2020-03-18,England,Deaths,112
2020-03-18,Northern Ireland,ConfirmedCases,73
2020-03-18,Northern Ireland,Deaths,1
2020-03-18,Northern Ireland,Tests,1752
2020-03-18,Scotland,ConfirmedCases,227
2020-03-18,Scotland,Deaths,3
2020-03-18,Scotland,Tests,6091
2020-03-18,UK,ConfirmedCases,2626
2020-03-18,UK,Deaths,115
2020-03-18,UK,Tests,56221
2020-03-18,Wales,ConfirmedCases,241
2020-03-18,Wales,Deaths,3
2020-03-18,Wales,Tests,1985
2020-03-19,England,ConfirmedCases,5743
2020-03-19,England,Deaths,154
2020-03-19,Northern Ireland,ConfirmedCases,87
2020-03-19,Northern Ireland,Deaths,2
2020-03-19,Northern Ireland,Tests,1945
2020-03-19,Scotland,ConfirmedCases,266
2020-03-19,Scotland,Deaths,6
2020-03-19,Scotland,Tests,6772
2020-03-19,UK,ConfirmedCases,3269
2020-03-19,UK,Deaths,158
2020-03-19,UK,Tests,64621
2020-03-19,Wales,ConfirmedCases,301
2020-03-19,Wales,Deaths,6
2020-03-19,Wales,Tests,2376
2020-03-20,England,ConfirmedCases,6825
2020-03-20,England,Deaths,186
2020-03-20,Northern Ireland,ConfirmedCases,104
2020-03-20,Northern Ireland,Deaths,1
2020-03-20,Northern Ireland,Tests,2196
2020-03-20,Scotland,ConfirmedCases,322
2020-03-20,Scotland,Deaths,6
2020-03-20,Scotland,Tests,7550
2020-03-20,UK,ConfirmedCases,3983
2020-03-20,UK,Deaths,194
2020-03-20,UK,Tests,66976
2020-03-20,Wales,ConfirmedCases,374
2020-03-20,Wales,Deaths,8
2020-03-20,Wales,Tests,2812
2020-03-21,England,ConfirmedCases,7859
2020-03-21,England,Deaths,240
2020-03-21,Northern Ireland,ConfirmedCases,127
2020-03-21,Northern Ireland,Deaths,3
2020-03-21,Northern Ireland,Tests,2410
2020-03-21,Scotland,ConfirmedCases,373
2020-03-21,Scotland,Deaths,7
2020-03-21,Scotland,Tests,8259
2020-03-21,UK,ConfirmedCases,5018
2020-03-21,UK,Deaths,250
2020-03-21,UK,Tests,72818
2020-03-21,Wales,ConfirmedCases,449
2020-03-21,Wales,Deaths,15
2020-03-21,Wales,Tests,3274
2020-03-22,England,ConfirmedCases,9065
2020-03-22,England,Deaths,264
2020-03-22,Northern Ireland,ConfirmedCases,145
2020-03-22,Northern Ireland,Deaths,4
2020-03-22,Northern Ireland,Tests,2611
