key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_GE_1734,2020-06-26,0,57,,,,,,,
NL_GE_1740,2020-06-26,1,37,,,,,,,
NL_GE_1859,2020-06-26,0,13,,,,,,,
NL_GE_1876,2020-06-26,0,17,,,,,,,
NL_GE_1945,2020-06-26,0,29,,,,,,,
NL_GE_1955,2020-06-26,0,21,,,,,,,
NL_GE_1960,2020-06-26,0,43,,,,,,,
NL_GR,2020-06-26,0,74,,,,,,,
NL_GR_0003,2020-06-26,0,3,,,,,,,
NL_GR_0010,2020-06-26,0,6,,,,,,,
NL_GR_0014,2020-06-26,0,18,,,,,,,
NL_GR_0024,2020-06-26,0,0,,,,,,,
NL_GR_0037,2020-06-26,0,2,,,,,,,
NL_GR_0047,2020-06-26,0,2,,,,,,,
NL_GR_0765,2020-06-26,0,4,,,,,,,
NL_GR_1895,2020-06-26,0,7,,,,,,,
NL_GR_1950,2020-06-26,0,5,,,,,,,
NL_GR_1952,2020-06-26,0,6,,,,,,,
NL_GR_1966,2020-06-26,0,7,,,,,,,
NL_GR_1969,2020-06-26,0,14,,,,,,,
NL_LI,2020-06-26,0,1562,,,,,,,
NL_LI_0882,2020-06-26,0,52,,,,,,,
NL_LI_0888,2020-06-26,0,16,,,,,,,
NL_LI_0889,2020-06-26,0,20,,,,,,,
NL_LI_0893,2020-06-26,0,7,,,,,,,
NL_LI_0899,2020-06-26,0,44,,,,,,,
NL_LI_0907,2020-06-26,0,16,,,,,,,
NL_LI_0917,2020-06-26,0,125,,,,,,,
NL_LI_0928,2020-06-26,0,64,,,,,,,
NL_LI_0935,2020-06-26,0,187,,,,,,,
NL_LI_0938,2020-06-26,0,22,,,,,,,
NL_LI_0944,2020-06-26,0,6,,,,,,,
NL_LI_0946,2020-06-26,0,31,,,,,,,
NL_LI_0957,2020-06-26,0,59,,,,,,,
NL_LI_0965,2020-06-26,0,19,,,,,,,
NL_LI_0971,2020-06-26,0,43,,,,,,,
NL_LI_0981,2020-06-26,0,10,,,,,,,
NL_LI_0983,2020-06-26,0,129,,,,,,,
NL_LI_0984,2020-06-26,0,37,,,,,,,
NL_LI_0986,2020-06-26,0,17,,,,,,,
NL_LI_0988,2020-06-26,0,67,,,,,,,
NL_LI_0994,2020-06-26,0,19,,,,,,,
NL_LI_1507,2020-06-26,0,41,,,,,,,
NL_LI_1640,2020-06-26,0,52,,,,,,,
NL_LI_1641,2020-06-26,0,27,,,,,,,
NL_LI_1669,2020-06-26,0,27,,,,,,,
NL_LI_1711,2020-06-26,0,39,,,,,,,
NL_LI_1729,2020-06-26,0,21,,,,,,,
NL_LI_1883,2020-06-26,0,115,,,,,,,
NL_LI_1894,2020-06-26,0,144,,,,,,,
NL_LI_1903,2020-06-26,0,54,,,,,,,
NL_LI_1954,2020-06-26,0,52,,,,,,,
NL_NB,2020-06-26,0,2759,,,,,,,
NL_NB_0743,2020-06-26,0,18,,,,,,,
NL_NB_0744,2020-06-26,0,9,,,,,,,
NL_NB_0748,2020-06-26,0,24,,,,,,,
NL_NB_0753,2020-06-26,0,31,,,,,,,
NL_NB_0755,2020-06-26,0,35,,,,,,,
NL_NB_0756,2020-06-26,0,20,,,,,,,
NL_NB_0757,2020-06-26,0,24,,,,,,,
NL_NB_0758,2020-06-26,0,145,,,,,,,
NL_NB_0762,2020-06-26,0,55,,,,,,,
NL_NB_0766,2020-06-26,0,20,,,,,,,
NL_NB_0770,2020-06-26,0,26,,,,,,,
NL_NB_0772,2020-06-26,0,182,,,,,,,
NL_NB_0777,2020-06-26,0,40,,,,,,,
NL_NB_0779,2020-06-26,0,11,,,,,,,
NL_NB_0784,2020-06-26,0,20,,,,,,,
NL_NB_0785,2020-06-26,0,32,,,,,,,
NL_NB_0786,2020-06-26,0,21,,,,,,,
NL_NB_0788,2020-06-26,0,18,,,,,,,
NL_NB_0794,2020-06-26,0,115,,,,,,,
NL_NB_0796,2020-06-26,0,126,,,,,,,
NL_NB_0797,2020-06-26,0,44,,,,,,,
NL_NB_0798,2020-06-26,0,9,,,,,,,
NL_NB_0809,2020-06-26,0,24,,,,,,,
NL_NB_0815,2020-06-26,0,9,,,,,,,
NL_NB_0820,2020-06-26,0,18,,,,,,,
NL_NB_0823,2020-06-26,0,13,,,,,,,
NL_NB_0824,2020-06-26,0,23,,,,,,,
NL_NB_0826,2020-06-26,0,48,,,,,,,
NL_NB_0828,2020-06-26,0,164,,,,,,,
NL_NB_0840,2020-06-26,0,9,,,,,,,
NL_NB_0845,2020-06-26,0,36,,,,,,,
NL_NB_0847,2020-06-26,0,33,,,,,,,
NL_NB_0848,2020-06-26,0,31,,,,,,,
NL_NB_0851,2020-06-26,0,13,,,,,,,
NL_NB_0855,2020-06-26,0,249,,,,,,,
NL_NB_0856,2020-06-26,0,115,,,,,,,
NL_NB_0858,2020-06-26,0,19,,,,,,,
NL_NB_0861,2020-06-26,0,31,,,,,,,
NL_NB_0865,2020-06-26,0,42,,,,,,,
NL_NB_0866,2020-06-26,0,7,,,,,,,
NL_NB_0867,2020-06-26,0,36,,,,,,,
NL_NB_0873,2020-06-26,0,5,,,,,,,
NL_NB_0879,2020-06-26,0,24,,,,,,,
NL_NB_1652,2020-06-26,0,79,,,,,,,
NL_NB_1655,2020-06-26,0,14,,,,,,,
NL_NB_1658,2020-06-26,0,16,,,,,,,
NL_NB_1659,2020-06-26,0,41,,,,,,,
NL_NB_1667,2020-06-26,0,11,,,,,,,
NL_NB_1674,2020-06-26,0,28,,,,,,,
NL_NB_1684,2020-06-26,0,12,,,,,,,
NL_NB_1685,2020-06-26,0,39,,,,,,,
NL_NB_1702,2020-06-26,0,20,,,,,,,
NL_NB_1706,2020-06-26,0,63,,,,,,,
NL_NB_1709,2020-06-26,0,14,,,,,,,
NL_NB_1719,2020-06-26,0,18,,,,,,,
NL_NB_1721,2020-06-26,0,96,,,,,,,
NL_NB_1723,2020-06-26,0,18,,,,,,,
NL_NB_1724,2020-06-26,0,19,,,,,,,
NL_NB_1728,2020-06-26,0,21,,,,,,,
NL_NB_1771,2020-06-26,0,33,,,,,,,
NL_NB_1948,2020-06-26,0,211,,,,,,,
NL_NB_1959,2020-06-26,0,32,,,,,,,
NL_NH,2020-06-26,1,1637,,,,,,,
NL_NH_0358,2020-06-26,0,9,,,,,,,
NL_NH_0361,2020-06-26,0,54,,,,,,,
NL_NH_0362,2020-06-26,0,58,,,,,,,
NL_NH_0363,2020-06-26,0,620,,,,,,,
NL_NH_0370,2020-06-26,0,4,,,,,,,
NL_NH_0373,2020-06-26,0,16,,,,,,,
NL_NH_0375,2020-06-26,0,15,,,,,,,
NL_NH_0376,2020-06-26,0,8,,,,,,,
NL_NH_0377,2020-06-26,0,7,,,,,,,
NL_NH_0383,2020-06-26,0,15,,,,,,,
NL_NH_0384,2020-06-26,0,17,,,,,,,
NL_NH_0385,2020-06-26,0,25,,,,,,,
NL_NH_0388,2020-06-26,0,18,,,,,,,
NL_NH_0392,2020-06-26,0,61,,,,,,,
NL_NH_0394,2020-06-26,0,68,,,,,,,
NL_NH_0396,2020-06-26,0,28,,,,,,,
NL_NH_0397,2020-06-26,0,11,,,,,,,
NL_NH_0398,2020-06-26,0,27,,,,,,,
NL_NH_0399,2020-06-26,0,9,,,,,,,
NL_NH_0400,2020-06-26,0,12,,,,,,,
NL_NH_0402,2020-06-26,1,33,,,,,,,
NL_NH_0405,2020-06-26,0,35,,,,,,,
NL_NH_0406,2020-06-26,0,23,,,,,,,
NL_NH_0415,2020-06-26,0,3,,,,,,,
NL_NH_0416,2020-06-26,0,16,,,,,,,
NL_NH_0417,2020-06-26,0,8,,,,,,,
NL_NH_0420,2020-06-26,0,19,,,,,,,
NL_NH_0431,2020-06-26,0,11,,,,,,,
NL_NH_0432,2020-06-26,0,1,,,,,,,
NL_NH_0437,2020-06-26,0,5,,,,,,,
NL_NH_0439,2020-06-26,0,66,,,,,,,
NL_NH_0441,2020-06-26,0,19,,,,,,,
NL_NH_0448,2020-06-26,0,5,,,,,,,
NL_NH_0450,2020-06-26,0,5,,,,,,,
NL_NH_0451,2020-06-26,0,16,,,,,,,
NL_NH_0453,2020-06-26,0,32,,,,,,,
NL_NH_0457,2020-06-26,0,9,,,,,,,
NL_NH_0473,2020-06-26,0,10,,,,,,,
NL_NH_0479,2020-06-26,0,117,,,,,,,
NL_NH_0498,2020-06-26,0,4,,,,,,,
NL_NH_0532,2020-06-26,0,19,,,,,,,
NL_NH_0852,2020-06-26,0,16,,,,,,,
NL_NH_0880,2020-06-26,0,20,,,,,,,
NL_NH_1598,2020-06-26,0,6,,,,,,,
